iso_code,country,co2_acum_fosil_mt,co2_acum_total_mt,pct_calentamiento,aporte_temp_c,co2_pc_actual_t,poblacion,co2_acum_pc_t,continente,region,pais_es
COL,Colombia,3802.047,24334.633,0.901,0.015,1.752,52886360,460.13060834589487,Americas,Latin America & Caribbean,Colombia
COM,Comoros,7.513,13.79,0.001,0,0.637,866632,15.912174948536403,Africa,Sub-Saharan Africa,Comoras
CPV,Cape Verde,16.916,21.048,0.001,0,1.131,524878,40.100747221259034,Africa,Sub-Saharan Africa,Cabo Verde
CRI,Costa Rica,285.803,2485.696,0.08,0.001,1.708,5129909,484.54972593081084,Americas,Latin America & Caribbean,Costa Rica
CUB,Cuba,1814.111,5795.804,0.158,0.003,2.226,10979781,527.8615302072054,Americas,Latin America & Caribbean,Cuba
CUW,Curacao,531.974,NA,0.014,0,12.344,185482,NA,Americas,Latin America & Caribbean,Curazao
CXR,Christmas Island,1.33,NA,0,0,NA,NA,NA,Oceania,East Asia & Pacific,Isla de Navidad
CYP,Cyprus,321.552,271.718,0.012,0,5.374,1358287,200.04461501876997,Asia,Europe & Central Asia,Chipre
CZE,Czechia,12331.785,12006.457,0.382,0.006,7.044,10735857,1118.351054787708,Europe,Europe & Central Asia,Chequia
DEU,Germany,95135.68,94907.508,2.921,0.049,6.769,84552234,1122.4719148165855,Europe,Europe & Central Asia,Alemania
DJI,Djibouti,21.121,27.193,0.004,0,0.483,1168726,23.267215754590897,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Yibuti
DMA,Dominica,5.494,3.614,0,0,2.58,66226,54.57071240902365,Americas,Latin America & Caribbean,Dominica
DNK,Denmark,4199.661,5573.946,0.183,0.003,4.746,5977417,932.5007775097505,Europe,Europe & Central Asia,Dinamarca
DOM,Dominican Republic,869.154,2468.29,0.085,0.001,2.899,11427558,215.99452831479832,Americas,Latin America & Caribbean,República Dominicana
DZA,Algeria,5476.568,6544.149,0.335,0.006,4.234,46814302,139.78952415011977,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Argelia
ECU,Ecuador,1391.196,5814.552,0.243,0.004,2.535,18135478,320.6175210821573,Americas,Latin America & Caribbean,Ecuador
EGY,Egypt,7471.49,7805.938,0.368,0.006,2.217,116538256,66.98176434011506,Africa,"Middle East, North Africa, Afghanistan & Pakistan",Egipto
ERI,Eritrea,19.103,160.03,0.019,0,0.21,3535610,45.26234511159319,Africa,Sub-Saharan Africa,Eritrea
ESP,Spain,15700.227,17728.5,0.612,0.01,4.599,47910533,370.0334538127555,Europe,Europe & Central Asia,España
EST,Estonia,1668.452,1800.003,0.062,0.001,6.105,1360548,1322.9985270640948,Europe,Europe & Central Asia,Estonia
ETH,Ethiopia,330.228,7353.446,0.517,0.009,0.135,132059770,55.68271094217414,Africa,Sub-Saharan Africa,Etiopía
FIN,Finland,3324.779,6765.904,0.228,0.004,5.301,5617311,1204.4738131821437,Europe,Europe & Central Asia,Finlandia
FJI,Fiji,54.066,98.947,0.007,0,1.556,928800,106.53208440999138,Oceania,East Asia & Pacific,Fiyi
FRA,France,40047.566,35808.758,1.3,0.022,3.969,66548532,538.0848671462805,Europe,Europe & Central Asia,Francia
FRO,Faroe Islands,33.661,NA,0.001,0,13.089,55419,NA,Europe,Europe & Central Asia,Islas Feroe
FSM,Micronesia (country),4.858,4.858,0,0,1.331,113171,42.926191338770536,Oceania,East Asia & Pacific,Micronesia (country)
GAB,Gabon,307.085,1071.79,0.072,0.001,2.126,2538953,422.1385744438751,Africa,Sub-Saharan Africa,Gabón
GBR,United Kingdom,80079.445,79771.938,2.367,0.04,4.526,69138185,1153.8043412623574,Europe,Europe & Central Asia,RU
GEO,Georgia,662.384,233.481,0.03,0.001,3.095,3807668,61.318633872490985,Asia,Europe & Central Asia,Georgia
GHA,Ghana,426.536,2687.877,0.112,0.002,0.611,34427417,78.0737340823449,Africa,Sub-Saharan Africa,Ghana
GIN,Guinea,105.936,2803.08,0.174,0.003,0.273,14754779,189.97776923666564,Africa,Sub-Saharan Africa,Guinea
GMB,Gambia,17.677,73.955,0.006,0,0.291,2759999,26.795299563514334,Africa,Sub-Saharan Africa,Gambia
GNB,Guinea-Bissau,8.285,238.994,0.013,0,0.155,2201360,108.56652251335538,Africa,Sub-Saharan Africa,Guinea-Bisáu
GNQ,Equatorial Guinea,163.384,133.575,0.022,0,3.704,1892523,70.5803839636295,Africa,Sub-Saharan Africa,Guinea Ecuatorial
GRC,Greece,4296.778,5287.402,0.179,0.003,5.311,10047813,526.2241644027412,Europe,Europe & Central Asia,Grecia
GRD,Grenada,9.649,6.123,0,0,3.216,117218,52.23600470917436,Americas,Latin America & Caribbean,Granada
GRL,Greenland,35.194,NA,0.001,0,11.08,55864,NA,Americas,Europe & Central Asia,Groenlandia
GTM,Guatemala,515.766,4514.235,0.18,0.003,1.08,18406366,245.25400614113616,Americas,Latin America & Caribbean,Guatemala
GUY,Guyana,117.342,624.342,0.034,0.001,5.427,831092,751.2309106573039,Americas,Latin America & Caribbean,Guyana
HKG,Hong Kong,1750.301,NA,0.06,0.001,4.494,7414914,NA,Asia,East Asia & Pacific,Hong Kong
