pais,pib_pc_ppa,idh,rank_pib,rank_idh,brecha_rank
Antigua and Barbuda,30620.3075553859,0.851,61,51,10
Bolivia,11000.5345220728,0.733,116,106,10
Haiti,2677.89385325549,0.554,171,161,10
Moldova,17087.1874044819,0.785,94,84,10
Uzbekistan,11622.8556243531,0.74,114,104,10
Zambia,3742.25646316492,0.595,159,149,10
Barbados,22127.3604979718,0.811,77,67.5,9.5
Uruguay,32741.6246877908,0.862,56,46.5,9.5
Belgium,63488.4217622523,0.951,18,9,9
Canada,57989.5784653558,0.939,24,15,9
Estonia,41604.3226612806,0.905,43,34,9
Sao Tome and Principe,5459.21311766335,0.637,145,136,9
St. Vincent and the Grenadines,19483.0127638994,0.798,83,74.5,8.5
Viet Nam,15457.3499403547,0.766,100,91.5,8.5
Lesotho,2720.95737653412,0.55,170,162,8
"Korea, Rep.",55697.0848086328,0.937,26,18,8
Seychelles,30638.7217194523,0.848,60,52,8
Latvia,38800.5425281872,0.889,47,39.5,7.5
Bosnia and Herzegovina,21178.2260059497,0.804,79,72,7
Colombia,18778.6482631901,0.788,88,81,7
"Congo, Rep.",6194.08981287756,0.649,140,133,7
Morocco,9495.4052734375,0.71,124,117,7
Rwanda,3558.68003753808,0.578,161,154,7
Serbia,27603.3916309287,0.833,67,60.5,6.5
Denmark,72723.2747867992,0.962,10,4,6
Liberia,1692.92591135475,0.51,178,172,6
Mozambique,1450.95955248858,0.493,182,176,6
Nepal,5276.92387725538,0.622,146,140,6
Poland,46924.5887897477,0.906,39,33,6
Togo,3485.98184512074,0.571,162,156,6
Tunisia,13017.6340422977,0.746,108,102,6
Albania,22724.2938194949,0.81,74,69,5
Algeria,15882.7138836328,0.763,99,94,5
Burundi,1066.51299240586,0.439,185,180,5
Oman,36142.9439797194,0.858,53,48,5
Spain,49318.105559037,0.918,31,26,5
Sudan,1873.38562011719,0.511,176,171,5
Costa Rica,28443.4127676388,0.833,65,60.5,4.5
Czechia,49292.4878713208,0.915,32,28,4
Honduras,6726.16685066658,0.645,138,134,4
Slovak Republic,40689.8179557427,0.88,46,42,4
South Africa,13592.0484020929,0.741,107,103,4
Switzerland,85732.1097535232,0.97,6,2.5,3.5
France,55124.5392564395,0.92,27,24,3
Netherlands,71378.4856331012,0.955,11,8,3
North Macedonia,25094.6225007185,0.815,69,66,3
Philippines,10747.5454408601,0.72,118,115,3
Portugal,42576.8139673545,0.89,41,38,3
Kenya,5995.40177895632,0.628,141,138.5,2.5
Norway,95173.4308224367,0.97,5,2.5,2.5
Italy,53606.0789571011,0.915,30,28,2
Madagascar,1668.47702330854,0.487,179,177,2
Myanmar,5137.10048825615,0.609,147,145,2
St. Kitts and Nevis,31427.6630825717,0.84,58,56,2
Turkiye,37300.7485739354,0.853,51,49,2
Bulgaria,35325.5317883474,0.845,55,53.5,1.5
Bangladesh,8676.7557622508,0.685,127,126.5,0.5
Croatia,44172.0442284906,0.889,40,39.5,0.5
Thailand,22431.7518380848,0.798,75,74.5,0.5
Afghanistan,1964.45228895456,0.496,175,175,0
Central African Republic,1122.76083348097,0.414,184,184,0
"Gambia, The",3166.62129644442,0.524,165,165,0
Guinea-Bissau,2814.08355940327,0.514,169,169,0
Hungary,41160.6419140983,0.87,44,44,0
Jamaica,11357.915592063,0.72,115,115,0
Palau,19698.5947032213,0.786,82,82.5,-0.5
Belarus,29666.2115719117,0.824,62,63,-1
Cameroon,4945.95640965334,0.588,149,150,-1
United Arab Emirates,69701.785835525,0.94,13,14,-1
Brazil,20024.6968256903,0.786,81,82.5,-1.5
Mexico,21911.9292842747,0.789,78,79.5,-1.5
"Somalia, Fed. Rep.",1403.81389064466,0.404,183,185,-2
Tanzania,3820.61181640625,0.555,158,160,-2
Belize,12788.8423713826,0.721,110,112.5,-2.5
Cyprus,54103.26171875,0.913,28,30.5,-2.5
Lithuania,48839.5436452948,0.895,34,37,-3
Papua New Guinea,4456.23105962118,0.576,152,155,-3
Paraguay,17245.8458423118,0.756,93,96,-3
Azerbaijan,22314.2168957333,0.789,76,79.5,-3.5
Eswatini,10706.7778049468,0.695,119,122.5,-3.5
Fiji,13961.1183693541,0.731,105,108.5,-3.5
India,10039.0708910587,0.685,123,126.5,-3.5
Austria,63970.4008534859,0.93,16,20,-4
Zimbabwe,5529.23310016154,0.598,144,148,-4
Ghana,7357.83332993014,0.628,134,138.5,-4.5
Niger,1860.54858272608,0.419,177,181.5,-4.5
Malta,63655.5160659665,0.924,17,22,-5
"Egypt, Arab Rep.",17265.1488604617,0.754,92,97.5,-5.5
China,25066.5215296486,0.797,70,76,-6
Syrian Arab Republic,4579.43973633341,0.564,151,157,-6
Burkina Faso,2624.82858270803,0.459,172,179,-7
Mauritius,28769.5128307709,0.806,64,71,-7
Panama,37516.1796428548,0.839,50,57,-7
Turkmenistan,19313.9430262025,0.764,86,93,-7
United States,76931.3106990408,0.938,9,16.5,-7.5
Ethiopia,3094.86811868352,0.497,166,174,-8
Ireland,131338.444745041,0.949,2,10,-8
Naoero,12134.8920885013,0.703,112,120,-8
Libya,14118.2064418565,0.721,104,112.5,-8.5
Romania,40845.9843440113,0.845,45,53.5,-8.5
Cabo Verde,10395.7415044012,0.668,121,130,-9
Indonesia,15091.0088604652,0.728,101,110,-9
Namibia,10242.2840471219,0.665,122,131,-9
Kazakhstan,37850.5791042984,0.837,49,58.5,-9.5
Chad,2480.50962500924,0.416,173,183,-10
Cambodia,7300.08078250634,0.606,135,146,-11
Dominica,19409.2900700194,0.761,84,95,-11
Malaysia,35461.4465805872,0.819,54,65,-11
Mongolia,17772.5342212559,0.747,90,101,-11
Iraq,12191.5564658302,0.695,111,122.5,-11.5
Singapore,139592.612210761,0.946,1,12.5,-11.5
"Bahamas, The",36244.0500123244,0.82,52,64,-12
Trinidad and Tobago,31721.5757411236,0.807,57,70,-13
Bahrain,60669.6307795772,0.899,22,36,-14
Benin,4116.2151559488,0.515,154,168,-14
Kuwait,48253.963885132,0.852,36,50,-14
Senegal,4668.54167658726,0.53,150,164,-14
Sierra Leone,3176.23681292996,0.467,164,178,-14
Mali,2993.25166359257,0.419,167,181.5,-14.5
El Salvador,12050.028265702,0.678,113,128,-15
Saudi Arabia,63051.0467257986,0.9,20,35,-15
Andorra,67993.0524178882,0.913,15,30.5,-15.5
Cote d'Ivoire,7014.84577693062,0.582,137,152.5,-15.5
San Marino,70951.7919690715,0.915,12,28,-16
Angola,8760.19081963151,0.616,126,143,-17
Dominican Republic,24543.3421843415,0.776,71,88,-17
Lao PDR,8872.69396186433,0.617,125,142,-17
Botswana,17687.2042407934,0.731,91,108.5,-17.5
Maldives,24401.3159253635,0.766,73,91.5,-18.5
Gabon,18986.4738767293,0.733,87,106,-19
Mauritania,6559.04321960566,0.563,139,158,-19
Guinea,4216.85970804544,0.5,153,173,-20
Luxembourg,127420.601625165,0.922,3,23,-20
Pakistan,5617.25078028458,0.544,143,163,-20
Russian Federation,42357.98828125,0.832,42,62,-20
Equatorial Guinea,13786.3932934089,0.674,106,129,-23
Guatemala,12986.5241144632,0.662,109,132,-23
Bhutan,16743.8703854575,0.698,96,121,-25
Suriname,19357.3907969318,0.722,85,111,-26
St. Lucia,24502.9628641276,0.748,72,100,-28
Nigeria,8145.14808387469,0.56,128,159,-31
Djibouti,7222.5498918753,0.513,136,170,-34
Qatar,110135.696297692,0.886,4,41,-37
Brunei Darussalam,78985.122026951,0.837,8,58.5,-50.5
Guyana,83658.6773475997,0.776,7,88,-81
