iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Bajo,37.2700004577637,2.76719430653303,87.8,66.289,4.761,53,1964.45228895456,416.871146273728,17778508875.7396,2.42557886023075,43844111,NA,NA,NA,25.9401644699898,64.9,NA,2021,2025,2024,2024,2024,2024,2024,2024,2024,2025,2025,NA,NA,NA,2025,2022,NA,Bajo,181,0.496,0.321,0.661,10.79014324,2.514790058,1971.549458,43.844111,17.7785088757396,3.2932414854790126,NA
ALB,Albania,Europe & Central Asia,Medio-alto,97.6800003051758,-1.16564475393365,100,79.776,1.341,9.2,22724.2938194949,12998.147869552,30540188271.3421,17.6221063807332,2349580,0.3,2.1,19.9,58.871474331067,0.7,29.4,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,2017,2020,Muy alto,71,0.81,0.705,0.107,14.51014996,10.17531099,17627.39404,2.34958,30.5401882713421,4.356490395961688,0.00704874
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Medio-alto,NA,1.31780475504384,100,76.475,2.723,21.6,15882.7138836328,6051.00322704182,287031225987.736,6.80593085174533,47435312,0,4.7,41.8,75.8187358069877,1.4,27.6,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2011,2011,2011,2025,2018,2011,Alto,96,0.763,0.601,0.443,15.4951601,7.416386987,15114.17175,47.435312,287.03122598773604,4.2009247124477875,0
AND,Andorra,Europe & Central Asia,Alto,NA,1.17204481645642,100,84.188,1.087,2.5,67993.0524178882,54291.5026031052,4500982731.80784,16.5624302661496,82904,NA,NA,NA,88.9492672283129,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,32,0.913,0.837,NA,14.54279041,11.60999966,64631.0749,0.082904,4.500982731807841,4.8324645384308935,NA
AGO,Angola,Sub-Saharan Africa,Medio-bajo,68.1800003051758,3.00100954627922,55.5,64.805,5.048,49,8760.19081963151,3129.47662331063,122174889423.635,2.89492414306917,39040039,39.3,53.7,80,71.4615915176085,51.1,51.3,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2015,2018,Medio,148,0.616,0.36,0.515,12.1676,5.956173009,6631.276544,39.040039,122.174889423635,3.942513566329087,15.342735326999998
ATG,Antigua and Barbuda,Latin America & Caribbean,Alto,NA,0.464941443253073,100,77.766,1.582,9.1,30620.3075553859,24819.2454680158,2338196296.2963,12.3369971923977,94209,NA,NA,NA,24.3334834700661,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,53,0.851,NA,0.24,15.50299899,11.64750004,27386.51793,0.094209,2.3381962962963,4.48600954850908,NA
ARG,Argentina,Latin America & Caribbean,Medio-alto,99.1399993896484,0.339100654860035,98.4,77.543,1.504,9.5,27846.5984597239,14898.0885943842,683097891618.597,12.634433938217,45851378,1,2.8,15.2,92.3519221615173,0.4,42.4,2020,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2019,2024,Muy alto,47,0.865,0.761,0.264,18.83120918,11.18458184,25876.05307,45.851378,683.097891618597,4.444772152457879,0.45851378
ARM,Armenia,Europe & Central Asia,Medio-alto,99.8399963378906,1.73854906675217,100,78.319512195122,1.7,9.6,21153.478328571,9474.01849300368,29243452882.3545,14.4428643549941,3086700,0.8,5.7,47.4,65.9287015589872,0.2,27.4,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2015,2024,Muy alto,69,0.811,0.743,0.18,14.3838501,11.34497821,20220.72319,3.0867,29.2434528823545,4.32538178990019,0.0246936
AUS,Australia,East Asia & Pacific,Alto,NA,1.53308964338105,100,83.0512195121951,1.481,3.6,60194.0633547961,65129.7227990563,1798518933689.21,18.0930147394386,27614411,0.9,1.1,1.5,87.7192672666333,NA,33.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,NA,2020,Muy alto,7,0.958,0.873,0.056,20.65477943,12.86999989,58276.87643,27.614411,1798.51893368921,4.779553661035415,0.24852969900000002
AUT,Austria,Europe & Central Asia,Alto,NA,0.328301850203979,100,81.9951219512195,1.31,3.3,63970.4008534859,62930.0351324599,579470021095.418,21.094709934873,9208163,0.5,0.6,1,69.7152152366353,NA,31.2,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,22,0.93,0.861,0.033,16.28428078,12.36146506,63479.20843,9.208163,579.470021095418,4.805979072116837,0.046040815000000006
AZE,Azerbaijan,Europe & Central Asia,Medio-alto,99.7799987792969,0.431945667113889,100,74.576,1.43,17.9,22314.2168957333,7410.72281660142,75937647058.8235,9.16837192948103,10246996,NA,NA,NA,58.6371024281175,0.2,NA,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,2023,NA,Alto,81,0.789,0.735,0.315,12.90977955,11.06999969,20667.95729,10.246996,75.9376470588235,4.348581650135568,NA
BHS,"Bahamas, The",Latin America & Caribbean,Alto,NA,0.43515303971882,100,74.71,1.374,12.4,36244.0500123244,39455.4466548546,15832800000,12.094434071694,403033,NA,NA,NA,81.3309172016028,NA,NA,NA,2025,2024,2024,2024,2024,2024,2024,2024,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,66,0.82,0.67,0.325,11.89137971,12.81441904,30974.68074,0.403033,15.8328,4.559236721006109,NA
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",Alto,97.8199996948242,0.733516488465226,100,81.423,1.805,8.8,60669.6307795772,30596.5794898885,48965725531.9149,4.01595782713348,1600366,NA,NA,NA,100,NA,NA,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,38,0.899,NA,0.165,15.92718983,11.13000011,52818.79538,1.600366,48.9657255319149,4.782971351942892,NA
BGD,Bangladesh,South Asia,Medio-bajo,79,1.21664463269168,99.5,74.93,2.138,30.5,8676.7557622508,2597.34352335275,456319229255.578,6.66842350416686,175686899,5.9,20.5,71.5,33.2395847043975,14.9,30.9,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2022,2022,Medio,130,0.685,0.482,0.487,12.31016827,6.7899999619999996,8497.658639,175.686899,456.319229255578,3.938357372881147,10.365527041
BRB,Barbados,Latin America & Caribbean,Alto,NA,0.0552124454380577,100,76.332,1.708,9.8,22127.3604979718,28364.8181499736,8016550000,17.0865126219157,282623,1.7,3.2,15.8,59.6996239887007,NA,34.1,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2016,2016,2016,2025,NA,2016,Muy alto,69,0.811,0.62,0.297,16.6280018,9.92835689,17327.52047,0.282623,8.01655,4.344929611417832,0.004804591
BLR,Belarus,Europe & Central Asia,Medio-alto,99.870002746582,-0.511982816210923,100,74.3653414634147,1.217,2.3,29666.2115719117,10279.2547190723,93397215864.198,18.2845697904208,9085991,0,0.1,2.6,79.4945820380127,NA,24.4,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,NA,2020,Muy alto,65,0.824,0.771,0.08,13.71881008,12.33537298,26724.871,9.085991,93.397215864198,4.472262089678392,0
BEL,Belgium,Europe & Central Asia,Alto,NA,0.698907329339411,100,82.3,1.44,3.7,63488.4217622523,60750.2735864647,725466462859.646,20.9608828531757,11941781,0.1,0.1,0.3,87.6726083114649,NA,26.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,10,0.951,0.891,0.031,18.99603081,12.68965045,63582.47535,11.941781,725.466462859646,4.802694531225176,0.011941781
BLZ,Belize,Latin America & Caribbean,Medio-alto,87.879997253418,1.39336251081714,99.6,73.739,2.021,12.7,12788.8423713826,7865.47937690933,3326500000,5.22800786902611,422924,1,4,19.7,41.5621435428272,4.3,39.9,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2018,2018,2018,2025,2015,2018,Alto,115,0.721,NA,0.428,11.98379993,8.762290001,12343.07814,0.422924,3.3265,4.10683123451195,0.00422924
BEN,Benin,Sub-Saharan Africa,Medio-bajo,51.3800010681152,2.40291500851022,59,60.961,4.48,74.7,4116.2151559488,1658.27312662991,24566420903.5337,3.15305462207379,14814460,27.2,50,86.5,53.3620073968188,55.9,34.4,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2021,2021,Bajo,173,0.515,0.316,0.573,10.4464798,3.194200039,3805.527516,14.81446,24.5664209035337,3.6144980674021476,4.02953312
BTN,Bhutan,South Asia,Medio-bajo,64.9100036621094,0.649540189970473,100,73.262,1.449,17.2,16743.8703854575,4492.78400306618,3579320145.13077,6.62730338284496,796682,0,0.4,9,43.4301832473753,9.8,28.5,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2022,2022,Medio,125,0.698,0.478,0.278,13.15274184,5.835794662,13842.80353,0.796682,3.57932014513077,4.2238558534637844,0
BOL,Bolivia,Latin America & Caribbean,Medio-bajo,96.7300033569336,1.34850560934918,96.6,68.739,2.523,15.7,11000.5345220728,5147.81081955367,64768947525.3256,5.74004562527309,12581843,2.1,4.9,17.4,71.5631037265869,5.8,40.9,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2023,2024,Alto,108,0.733,0.578,0.419,15.61065006,10.02122319,9445.244868,12.581843,64.7689475253256,4.04141378828065,0.264218703
BIH,Bosnia and Herzegovina,Europe & Central Asia,Medio-alto,96.9899978637695,-0.766395454237064,100,78.044,1.492,6.9,21178.2260059497,10381.8460703874,32599982936.3931,22.8598779877873,3140095,0.3,1,11.7,52.6915440779561,NA,30.3,2013,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,NA,2021,Muy alto,74,0.804,0.689,0.157,13.16394043,10.97000027,19827.48588,3.140095,32.599982936393104,4.325889578618782,0.009420284999999999
BWA,Botswana,Sub-Saharan Africa,Medio-alto,NA,1.61250378521521,80.2,69.293,2.703,33.3,17687.2042407934,7778.1151090571,19928479839.4476,4.08292423233554,2562122,21.4,35.8,63.2,67.9559561532102,17.2,54.9,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2015,2015,2015,2025,2015,2015,Alto,111,0.731,0.509,0.49,11.42568016,10.478,16983.77103,2.562122,19.9284798394476,4.247659190809549,0.548294108
BRA,Brazil,Latin America & Caribbean,Medio-alto,94.7399978637695,0.383150642409967,99.8,76.023,1.614,14.2,20024.6968256903,10713.2856869511,2279920092492.13,11.4803394567154,212812405,3,6.2,20.6,88.1772996487898,3.8,50.3,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2015,2024,Alto,84,0.786,0.594,0.39,15.7927103,8.425371752,18011.28546,212.812405,2279.9200924921297,4.301565949578923,6.384372150000001
BRN,Brunei Darussalam,East Asia & Pacific,Alto,96.0899963378906,0.776925734682091,100,75.501,1.731,9.9,78985.122026951,32234.6428368582,15031980994.1121,7.23853575950962,466330,NA,NA,NA,75.0109886586819,NA,NA,2011,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Muy alto,60,0.837,0.756,0.257,13.69861984,9.282,75826.87338,0.46633,15.0319809941121,4.897545293440957,NA
BGR,Bulgaria,Europe & Central Asia,Alto,98.3499984741211,-0.126123118551665,100,75.7609756097561,1.72,5.7,35325.5317883474,20328.1667065538,130777235529.606,22.2355986271326,6433302,1,1.6,4.4,74.1727501848475,NA,39.5,2011,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,55,0.845,0.748,0.208,15.3166399,11.45453092,32174.93003,6.433302,130.777235529606,4.5480887084117905,0.06433302
BFA,Burkina Faso,Sub-Saharan Africa,Bajo,41.5670909952631,2.20824551344995,34,61.292,4.11,74.9,2624.82858270803,1147.57131635601,27627297461.3181,2.68420882108847,24074580,42.1,64.6,90.4,28.9226360719085,64.5,37.4,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2021,2021,Bajo,186,0.459,0.273,0.555,8.733340263,2.266550064,2390.527778,24.07458,27.6272974613181,3.41910094659347,10.135398180000001
BDI,Burundi,Sub-Saharan Africa,Bajo,71.3374789737041,2.40689260858279,20.1,63.818,4.789,47.1,1066.51299240586,233.823013385395,3364713864.08488,2.54810935578364,14390003,74.2,87.2,97.4,25.6870184681663,75.1,37.5,2020,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,2016,2020,Bajo,187,0.439,0.286,0.501,9.829423879,3.473935556,858.9155681,14.390003,3.3647138640848797,3.027966150451929,10.677382225999999
CPV,Cabo Verde,Sub-Saharan Africa,Medio-alto,88.4700012207031,0.465500368710652,98.4,76.224,1.511,11.1,10395.7415044012,5796.47207860911,3056630435.32463,7.15393054195179,527326,14.6,29.7,65,77.6300668010068,NA,42.4,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2015,2015,2015,2025,NA,2015,Medio,135,0.668,0.478,0.298,11.36709717,6.09003905,8165.379172,0.527326,3.05663043532463,4.016855472001745,0.076989596
KHM,Cambodia,East Asia & Pacific,Medio-bajo,71.9300003051758,1.17893708663597,99.2,70.817,2.548,18.4,7300.08078250634,2872.42926639909,51267065842.9641,6.37709648006975,17847982,NA,NA,NA,41.10561939401,16.6,NA,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,2021,NA,Medio,151,0.606,0.444,0.506,11.19789219,5.197100163,4931.016842,17.847982,51.2670658429641,3.8633276660386233,NA
CMR,Cameroon,Sub-Saharan Africa,Medio-bajo,72.5500030517578,2.56133847709635,72,63.968,4.261,64.8,4945.95640965334,1972.3815800786,58933453923.761,2.81759096595751,29879337,26.7,41.3,74,55.6692041661323,43.6,42.2,2018,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2018,2021,Medio,155,0.588,0.361,0.558,10.79187965,6.574180412,4746.26582,29.879337,58.933453923761,3.6942502844615013,7.977782979
CAN,Canada,North America,Alto,NA,0.939110272846239,100,82.1080487804878,1.25,5.4,57989.5784653558,55697.6639660837,2319899772425.92,20.2603673865917,41651653,0.3,0.3,0.6,82.8757020253886,NA,31.5,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,NA,2022,Muy alto,16,0.939,0.867,0.052,15.88825989,13.86999989,54688.41729,41.651653,2319.8997724259198,4.763349951810204,0.124954959
CAF,Central African Republic,Sub-Saharan Africa,Bajo,42.439998626709,3.36794044132968,18.2,57.671,5.954,89.7,1122.76083348097,556.131398031455,3066109226.40165,2.19798298001082,5513282,71.6,83.9,96.1,44.5532156681816,80.4,43,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2018,2021,Bajo,191,0.414,0.253,NA,7.435767778,3.989431459,1099.8606810000001,5.513282,3.06610922640165,3.0502872542476056,3.9475099119999997
TCD,Chad,Sub-Saharan Africa,Bajo,30.6299991607666,3.41211675890953,13.4,55.238,6.028,97.3,2480.50962500924,1022.33559390754,21472835225.4338,2.11894758567596,21003705,39.5,61.4,89.5,27.5658786336865,84.2,37.4,2019,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2019,2022,Bajo,190,0.416,0.252,0.67,8.347590231,2.334984892,1748.000992,21.003705,21.4728352254338,3.3945409165486975,8.296463475000001
CHL,Chile,Latin America & Caribbean,Alto,96.4000015258789,0.480257021978241,99,81.359,1.14,6.8,30863.4223155169,17994.5911957485,357371159574.862,14.5897458504493,19859921,0.4,0.7,4.5,89.1772830019223,NA,43,2017,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,NA,2024,Muy alto,45,0.878,0.723,0.102,16.91242027,11.29105394,28047.1698,19.859921,357.371159574862,4.489444081491773,0.079439684
CHN,China,East Asia & Pacific,Medio-alto,96.7399978637695,-0.169770885652674,100,78.017,1.013,5.7,25066.5215296486,13861.970224368,19498039388042.6,14.9114314271952,1406585000,0,0.5,21.3,66.3429910348272,3.9,36,2020,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2014,2022,Alto,78,0.797,0.67,0.132,15.4787495,8.036181597,22029.22253,1406.585,19498.0393880426,4.399094071282011,0
COL,Colombia,Latin America & Caribbean,Medio-alto,95.3399963378906,1.01451696044498,98.9,77.913,1.634,11.5,18778.6482631901,8561.62091854449,457410034202.523,10.2001032818786,53425635,8.5,14.7,37,78.7827914751151,4.8,54.4,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2015,2024,Alto,83,0.788,0.593,0.393,14.28641033,9.031581597,18665.94967,53.425635,457.41003420252304,4.273664327388783,4.541178975
COM,Comoros,Sub-Saharan Africa,Medio-bajo,75.6201980162165,1.85420936957363,91.7,67.023,3.822,39,3621.76626304343,2055.75921566281,1814920856.27026,4.45428004270273,882847,5.1,18,68.2,33.941547481361,19.2,30.3,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2022,2024,Medio,152,0.603,0.356,0.501,13.29446063,6.006840229,3481.12144,0.882847,1.8149208562702601,3.558920418936083,0.045025196999999996
COG,"Congo, Rep.",Sub-Saharan Africa,Medio-bajo,NA,2.36370989746216,53,66.001,4.109,39.1,6194.08981287756,2514.73393584747,16306633778.765,3.06138374079353,6484437,39.2,55,82.4,64.1236534817412,24.3,48.9,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2011,2011,2011,2025,2014,2011,Medio,138,0.649,0.426,0.565,12.68194711,8.322644792,5902.599066,6.484437,16.306633778765,3.791977498236516,2.541899304
CRI,Costa Rica,Latin America & Caribbean,Alto,97.4100036621094,0.448125104429705,99.8,80.996,1.318,10.4,28443.4127676388,19970.0989059622,102904921157.478,12.7519673196907,5152950,0.8,1.7,9.7,79.7268137993004,0.5,45.5,2011,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2018,2025,Muy alto,62,0.833,0.678,0.217,16.34963687,8.844752499,23417.21315,5.15295,102.904921157478,4.453981703774773,0.0412236
CIV,Cote d'Ivoire,Sub-Saharan Africa,Medio-bajo,50,2.40496595908985,72.9,62.11,4.23,64.5,7014.84577693062,3050.10202257321,99773555666.1988,2.65345754900338,32711547,20.8,41.6,80.9,54.5489501450761,42.8,35.3,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2021,2021,Medio,157,0.582,0.35,0.589,11.41112995,4.8699998859999996,6735.416265,32.711547,99.7735556661988,3.846018127400833,6.8040017760000016
HRV,Croatia,Europe & Central Asia,Alto,NA,0.258317977905583,100,78.9292682926829,1.46,5.6,44172.0442284906,27103.9116109268,105060182186.274,23.6095692486799,3876200,0.3,0.6,2,57.8144543604143,NA,30.1,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,41,0.889,0.828,0.074,16.34815025,12.0951217,41379.89027,3.8762,105.060182186274,4.645147498343966,0.0116286
CUB,Cuba,Latin America & Caribbean,Medio-alto,97.6500015258789,-0.388557565092683,100,78.264,1.445,8.6,NA,9605.27914559614,107352000000,17.0350080804476,10937203,NA,NA,NA,77.2270774821152,0.7,NA,2019,2025,2024,2024,2024,2024,NA,2020,2020,2025,2025,NA,NA,NA,2025,2019,NA,Alto,97,0.762,NA,0.296,13.87884045,10.63148903,8415.411708,10.937203,107.352,NA,NA
CYP,Cyprus,Europe & Central Asia,Alto,98.6800003051758,0.914028750872649,100,81.821,1.38,5,54103.26171875,41783.08984375,41225787247.3309,14.9323292144324,1370754,0,0,0.1,66.6950270703775,NA,31.8,2011,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,32,0.913,0.841,0.252,16.21559906,12.5573721,45394.15625,1.370754,41.2257872473309,4.733223448170418,0
CZE,Czechia,Europe & Central Asia,Alto,NA,-0.16657564691038,100,79.9780487804878,1.36,2.6,49292.4878713208,35917.2724081665,391026962800.475,21.1800713896599,10886878,0,0,0.8,72.8754367116112,NA,25.7,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,29,0.915,0.867,0.088,16.7935009,12.96318214,45889.01401,10.886878,391.02696280047496,4.6927807382504705,0
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Bajo,NA,0.272143344374275,61.4,73.743,1.784,16.7,NA,NA,NA,12.7100800151323,26571036,NA,NA,NA,64.1897858311258,NA,NA,NA,2025,2024,2024,2024,2024,NA,NA,NA,2025,2025,NA,NA,NA,2025,NA,NA,NA,NA,NA,NA,NA,12.20215329,NA,NA,26.571036,NA,NA,NA
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Bajo,68.5,3.20249618590858,22.5,62.074,5.981,89.7,1640.56621824278,806.776000708534,91030531316.9936,3.08388348450007,112832473,85.3,92.5,98,45.1135633042151,64.5,44.7,2023,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2020,2020,2020,2025,2017,2020,Bajo,171,0.522,0.341,0.604,10.91147386,7.378561086,1431.047931,112.832473,91.0305313169936,3.214993764522157,96.24609946899999
DNK,Denmark,Europe & Central Asia,Alto,NA,0.536903805914283,100,82.2536585365854,1.47,4,72723.2747867992,76970.1535217919,462526660468.393,21.1189674580971,6009169,0.4,0.4,0.6,88.8458435892689,NA,29.9,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,4,0.962,0.909,0.003,18.70401001,13.0273206,76007.85669,6.009169,462.526660468393,4.861673427279559,0.024036676000000003
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Medio-bajo,NA,1.30518794764358,69.2,66.202,2.618,48.9,7222.5498918753,3905.604954681,4624533092.31886,4.97206050453666,1184076,25.4,43.7,80.8,72.9758660686475,NA,41.6,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2017,2017,2017,2025,NA,2017,Bajo,175,0.513,0.341,0.481,6.207350016,3.95041503,6367.606026,1.184076,4.62453309231886,3.858690550542721,0.30075530399999995
DMA,Dominica,Latin America & Caribbean,Medio-alto,NA,-0.505770483641074,100,71.294,1.48,35.7,19409.2900700194,10989.0431185083,723859259.259259,13.1984242047016,65871,NA,NA,NA,73.9861616678942,NA,NA,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Alto,98,0.761,NA,NA,14.15099967,10.12508965,16001.12551,0.065871,0.723859259259259,4.288009650570656,NA
DOM,Dominican Republic,Latin America & Caribbean,Medio-alto,94.0299987792969,0.809920950082305,99.5,73.868,2.222,30.6,24543.3421843415,11059.2081531834,127407463759.043,8.1878526489375,11520487,0.8,2,14,72.517694062591,2.3,39,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2024,2024,2024,2025,2019,2024,Alto,89,0.776,0.634,0.417,13.61692047,9.444525756,22023.51059,11.520487,127.407463759043,4.389933702375672,0.092163896
ECU,Ecuador,Latin America & Caribbean,Medio-alto,93.4899978637695,0.847864596028112,98.5,77.579,1.806,12.9,14319.2406558299,7125.27618527738,130320560400,8.59643215029763,18289896,3.4,8.4,30.1,63.3918189058262,2.1,45.9,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2018,2025,Alto,88,0.777,0.64,0.358,14.85167027,8.970000267,13986.39698,18.289896,130.3205604,4.155919988102646,0.6218564639999999
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Medio-bajo,79.4531619498685,1.55618628611795,100,71.806,2.735,22.4,17265.1488604617,3085.80712036204,365254630179.737,5.27119509818337,118365995,1.4,7.1,58.5,42.9043204925248,5.2,28.5,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2021,2021,2021,2025,2014,2021,Alto,100,0.754,0.582,0.398,13.12716193,10.13611962,16218.13521,118.365995,365.254630179737,4.237170327197398,1.65712393
SLV,El Salvador,Latin America & Caribbean,Medio-alto,89.7699966430664,0.429954275845337,98.7,72.302,1.768,10,12050.028265702,5766.72574029107,36708110000,8.30913126582456,6365503,4.6,8.6,29.9,75.5237123209951,7.9,39.8,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,2014,2023,Medio,132,0.678,0.555,0.362,11.11291027,7.300000191,10594.84201,6.365503,36.70811,4.080988065634871,0.292813138
GNQ,Equatorial Guinea,Sub-Saharan Africa,Medio-alto,NA,2.39717222444002,65.1,63.906,4.116,68,13786.3932934089,6615.25245207167,12823210425.9217,3.76410096619379,1938431,8.8,21.5,58.1,71.5761028458697,NA,38.5,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,NA,2022,Medio,133,0.674,NA,NA,12.49119511,8.281327014,12762.46845,1.938431,12.8232104259217,4.139450663736065,0.170581928
ERI,Eritrea,Sub-Saharan Africa,Bajo,NA,1.99933689205926,55.3,68.893,3.68,34.3,NA,688.68165957684,2065001626.01626,4.2581056905137,3607003,NA,NA,NA,34.5404504255216,NA,NA,NA,2025,2024,2024,2024,2024,NA,2011,2011,2025,2025,NA,NA,NA,2025,NA,NA,Bajo,178,0.503,NA,NA,7.336672297,5.09136442,2029.070062,3.607003,2.06500162601626,NA,NA
EST,Estonia,Europe & Central Asia,Alto,99.8899993896484,-0.428360939161402,100,79.2951219512195,1.18,2,41604.3226612806,34417.6320815138,47030833798.5866,21.8016309684638,1366475,0.3,0.6,1.3,70.7208526598129,NA,30.7,2011,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,36,0.905,0.841,0.061,15.96786022,13.56216597,40880.93044,1.366475,47.0308337985866,4.6191384558770405,0.004099425
SWZ,Eswatini,Sub-Saharan Africa,Medio-bajo,90.75,1.06859931393766,89.3,64.264,2.718,45.1,10706.7778049468,4108.25221093363,5160679612.81734,4.34585495321508,1256174,44.5,58.3,79.3,26.7213709706525,7.9,54.6,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2016,2016,2016,2025,2021,2016,Medio,126,0.695,0.431,0.484,15.24604391,8.685199738,9919.08523,1.256174,5.16067961281734,4.029658789965245,0.5589974299999999
