iso3c,pais,region,grupo_ingreso,alfabetismo,crec_poblacion,electricidad,esperanza_vida,fecundidad,mortalidad_5,pib_pc_ppa,pib_pc_usd,pib_usd,pob_65mas,poblacion,pobreza_3usd,pobreza_4_2usd,pobreza_8_3usd,urbana,pobreza_mpi,gini,anio_alfabetismo,anio_crec_poblacion,anio_electricidad,anio_esperanza_vida,anio_fecundidad,anio_mortalidad_5,anio_pib_pc_ppa,anio_pib_pc_usd,anio_pib_usd,anio_pob_65mas,anio_poblacion,anio_pobreza_3usd,anio_pobreza_4_2usd,anio_pobreza_8_3usd,anio_urbana,anio_pobreza_mpi,anio_gini,categoria_idh,ranking_idh,idh,idh_ajustado_des,indice_genero_gii,anios_escol_esp,anios_escol_prom,ingreso_nacional_pc,poblacion_mill,pib_mmill_usd,log_pib_pc_ppa,pobres_3usd_mill
SVK,Slovak Republic,Europe & Central Asia,Alto,NA,-0.152382641257418,100,78.3707317073171,1.46,6.3,40689.8179557427,28543.6653439813,154530066506.895,19.0363041680723,5413813,0.5,0.8,4.1,53.1940341971169,NA,23.8,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,44,0.88,0.833,0.176,14.94684982,13.10320397,36792.98874,5.413813,154.530066506895,4.6094857468453405,0.027069065
SVN,Slovenia,Europe & Central Asia,Alto,NA,0.168420657387838,100,82.2853658536585,1.52,2.3,49091.0184405902,37376.2216079138,79648204979.3618,22.2111482273631,2130986,0,0,0.1,55.9906997845822,NA,24.7,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,21,0.931,0.885,0.042,17.47717094,12.95120192,46360.80779,2.130986,79.64820497936181,4.691002042051803,0
SLB,Solomon Islands,East Asia & Pacific,Medio-bajo,NA,2.34616812843002,81.5,70.694,3.513,20,2382.1314520674,2086.18955928928,1749572442.95016,3.66871341943646,838645,40.3,62.9,90.7,31.3093190325418,NA,37.1,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2012,2012,2012,2025,NA,2012,Medio,156,0.584,0.483,0.478,11.31304207,5.8796802,2777.266749,0.838645,1.74957244295016,3.3769657232812347,0.337973935
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa,Bajo,54.1199989318848,3.3397984923678,54.4,58.967,6.013,101.1,1403.81389064466,661.173877723116,12995200000.2658,2.61747052453864,19654739,NA,NA,NA,55.1399062872976,NA,NA,2022,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,NA,NA,NA,2025,NA,NA,Bajo,192,0.404,0.229,0.675,7.486165162,1.899999976,1474.738459,19.654739,12.9952000002658,3.147309535412339,NA
ZAF,South Africa,Sub-Saharan Africa,Medio-alto,91.1500015258789,1.14969203871645,90.2,66.312,2.205,35.1,13592.0484020929,6597.71450918774,427184325997.307,6.88503097027824,64747319,17.4,30.2,59.6,63.8154011002522,6.3,54.1,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2016,2022,Alto,106,0.741,0.476,0.388,13.79325008,11.60999966,13693.98858,64.747319,427.184325997307,4.133284912412227,11.266033506
SSD,South Sudan,Sub-Saharan Africa,Bajo,NA,2.0337018417734,5.4,57.738,3.785,96.7,NA,1080.14718624765,11997800760.2242,3.07528935608692,12188788,76.5,88,97.6,21.6843599017401,NA,44,NA,2025,2024,2024,2024,2024,NA,2015,2015,2025,2025,2016,2016,2016,2025,NA,2016,Bajo,193,0.388,0.226,NA,5.634770141,5.730000019,688.3472771,12.188788,11.9978007602242,NA,9.32442282
ESP,Spain,Europe & Central Asia,Alto,99.6999969482422,1.03113431966787,100,83.8878048780488,1.1,3.2,49318.105559037,38627.2472148623,1906453309985.88,21.64208099744,49355143,0.8,1,2.3,80.5149251039138,NA,33.4,2021,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2023,2023,2023,2025,NA,2023,Muy alto,28,0.918,0.819,0.043,17.83031082,10.75612495,46008.44221,49.355143,1906.45330998588,4.693006385826,0.39484114400000003
LKA,Sri Lanka,South Asia,Medio-alto,92.7399978637695,-0.732738211545502,100,77.672,1.952,5.9,14582.7603740374,5002.07904353724,108825231671.196,12.4747139630238,21756000,2.7,11.5,53.3,20.4501355167937,2.9,37.7,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2019,2019,2019,2025,2016,2019,Alto,89,0.776,0.63,0.367,13.12815666,10.77000046,12615.60045,21.756,108.825231671196,4.1638397394650335,0.587412
SDN,Sudan,Sub-Saharan Africa,Bajo,NA,2.3763155422004,66,66.521,4.264,61.6,1873.38562011719,1164.53991699219,60162634574.4689,3.38701560944597,51662147,10.1,26,73.2,34.9349444966605,52.3,34.2,NA,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2014,2014,2014,2025,2014,2014,Bajo,176,0.511,0.328,0.588,8.620371878,3.962,2810.312012,51.662147,60.1626345744689,3.2726271823146003,5.217876847
SUR,Suriname,Latin America & Caribbean,Medio-alto,92.870002746582,0.850523968746845,99,73.757,2.231,15.8,19357.3907969318,7069.87230892274,4523657796.86421,8.19129483472689,639850,2.2,4.6,20.9,65.7886836406706,2.9,39.2,2012,2025,2024,2024,2024,2024,2025,2025,2025,2025,2025,2022,2022,2022,2025,2018,2022,Alto,114,0.722,NA,0.391,10.95909977,8.429759582,17344.38691,0.63985,4.52365779686421,4.286846817907223,0.014076700000000003
