folioviv,foliohog,id_pobla,sexo_pe,edad_act,mes_nac,anio_nac,otra_resid,nivela_pe,gradoa_pe,asiste_pe,tra_pago,tra_negfam,tra_neg,tra_aprend,tra_volun,tra_relig,trab_remun,sosten_eco,tra_dome,lengua_ind,pueblo_ind,color_piel,razon_estu,satis_vida,satis_nina,satis_adol,satis_jov,satis_adul,c_alimenta,c_actfis,c_tics,c_redsoc,c_consbien,c_economia,c_consalco,c_lectura,anio_dejar,edad_dejar,matrimonio,hij_vivos,anticoncep,anio_rsex,edad_rsex,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
010031502,1,01,2,39,02,1986,2,06,3,1,2,2,2,2,2,2,2,2,1,2,2,K,07,10,10,10,10,10,,,,,,,,,2004,18,1,2,2,2001,15,01001,01,001,0001,00006,466
010031503,1,01,1,38,11,1987,2,09,3,1,1,2,2,2,1,2,1,1,1,2,2,F,10,08,10,09,08,10,,,1,,,,,,2005,18,1,3,2,2005,18,01001,01,001,0001,00006,931
010031504,1,01,1,51,10,1974,1,03,6,1,1,2,1,1,2,2,1,1,1,2,2,F,07,08,10,07,08,08,,,,,,2,,,1995,21,1,5,1,1997,23,01001,01,001,0001,00006,466
010031505,1,01,1,28,09,1997,2,03,6,1,1,1,2,2,2,2,1,1,2,2,2,J,07,05,02,01,03,,,,,1,,,,,2011,14,1,1,2,2013,16,01001,01,001,0001,00006,931
010031601,1,02,2,46,10,1979,1,03,6,1,1,2,2,2,2,2,1,2,1,2,2,G,07,08,10,10,09,08,2,2,1,1,,2,,,1999,20,1,2,2,1999,20,01001,01,001,0002,00007,1233
010031602,1,01,1,46,01,1979,1,09,3,1,1,2,2,2,2,2,1,1,1,2,2,F,06,10,10,09,09,07,,2,1,1,2,3,,,2007,28,1,1,2,2005,26,01001,01,001,0002,00007,411
010031603,1,02,2,59,07,1966,2,06,3,1,1,2,2,2,2,2,1,2,1,2,2,G,07,08,10,09,09,08,2,2,1,1,2,2,,,1986,20,1,5,1,1986,20,01001,01,001,0002,00007,1233
010031604,1,01,1,52,02,1973,1,03,2,1,1,2,2,2,2,2,1,1,1,2,2,B,07,06,10,09,08,07,2,2,,,,2,2,,1993,20,1,4,1,1987,14,01001,01,001,0002,00007,2055
010037201,1,02,2,30,01,1995,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,F,08,08,07,07,07,07,2,2,,,,2,2,,2011,16,3,4,2,2008,13,01001,01,001,0001,00007,1138
010037202,1,01,2,32,10,1993,2,09,3,1,1,2,2,2,2,2,1,1,1,2,2,I,08,09,09,09,09,09,1,,1,,,2,,,2020,27,0,1,1,2010,17,01001,01,001,0001,00007,569
010037204,1,03,1,32,11,1993,2,11,5,1,1,2,2,2,2,2,1,2,1,2,2,G,13,10,10,10,10,10,1,1,1,,1,2,,,,99,0,0,2,2012,19,01001,01,001,0001,00007,1708
010037205,1,01,2,32,04,1993,2,06,3,1,1,2,2,2,2,2,1,1,1,2,2,I,08,07,10,06,06,06,2,2,1,1,,2,,,2008,15,2,4,1,2006,13,01001,01,001,0001,00007,569
010037701,1,02,2,50,02,1975,2,09,&,1,2,1,2,2,2,2,2,2,1,2,2,H,12,08,10,10,08,08,2,2,,,,1,,,1994,19,2,2,1,1992,17,01001,01,001,0001,00008,875
010037702,1,01,2,59,10,1966,2,03,6,1,1,2,2,2,2,2,1,1,1,2,2,G,07,07,10,08,07,07,2,,,,,2,,,1982,16,1,4,1,1982,16,01001,01,001,0001,00008,437
010037703,1,01,1,59,03,1966,1,03,6,1,1,2,2,2,2,2,1,1,1,2,2,E,07,09,10,10,08,08,2,,,,,2,,,1986,20,2,0,2,1980,14,01001,01,001,0001,00008,875
010037704,1,04,1,19,11,2006,2,09,3,1,1,2,2,2,2,2,1,2,1,2,2,I,10,09,10,10,,,,,1,1,,,,,,99,0,0,2,2023,17,01001,01,001,0001,00008,1749
010037705,1,02,2,51,09,1974,2,06,3,1,2,1,2,2,2,2,2,2,1,2,2,G,09,10,10,10,10,10,1,,,,,2,,,1996,22,1,2,2,1995,21,01001,01,001,0001,00008,1312
010039501,1,01,1,47,06,1978,2,06,3,1,1,1,1,2,1,2,1,1,1,2,2,G,10,10,05,09,09,10,,,,,,,,,1997,19,1,3,2,1995,17,01001,01,001,0001,00009,1378
010039502,1,02,2,61,10,1964,1,06,3,1,2,2,2,2,2,2,2,1,1,2,2,I,07,10,10,10,09,10,,2,,,,2,,,2007,43,1,4,2,1980,16,01001,01,001,0001,00009,919
010039503,1,03,2,19,08,2006,2,06,3,1,2,2,2,2,2,2,2,2,1,2,2,K,06,08,10,09,,,,,,,,,,,2023,17,1,1,2,2023,17,01001,01,001,0001,00009,919
010039504,1,01,2,37,12,1988,1,06,3,1,1,2,2,2,2,2,1,1,1,2,2,J,12,06,10,10,08,08,,,,,,,,,2001,13,1,3,2,2001,13,01001,01,001,0001,00009,459
