folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cuart_dorm,agua_ent,ab_agua,agua_noe,dotac_agua,excusado,drenaje,disp_elect,focos,focos_ahor,tenencia,num_micro,anio_micro,num_refri,anio_refri,num_lropa,anio_lropa,num_ltras,anio_ltras,num_airea,anio_airea,num_calef,anio_calef,num_venti,anio_venti,num_tv,anio_tv,num_pc,anio_pc,num_lap,anio_lap,num_table,anio_table,num_imp,anio_imp,num_cel,anio_cel,num_tfijo,anio_tfijo,num_inter,anio_inter,num_tvpag,anio_tvpag,num_pdigi,anio_pdigi,num_dvd,anio_dvd,num_juego,anio_juego,num_auto,anio_auto,num_van,anio_van,residentes,tot_hog,cvegeo,cve_ent,cve_mun,tam_loc,est_socio,est_dis,upm,factor_viv
010025402,1,8,10,3,4,1,1,,2,1,1,1,7,7,4,1,20,1,15,1,15,0,,0,,0,,0,,2,20,0,,0,,0,,0,,4,25,0,,1,18,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,3,0002,00005,430
010025403,1,8,10,2,1,1,1,,2,1,1,1,4,4,2,0,,1,17,1,21,0,,0,,0,,1,23,1,21,0,,0,,0,,0,,2,22,1,23,1,23,0,,0,,0,,0,,0,,0,,3,1,01001,01,001,1,3,0002,00005,430
010025404,1,8,10,3,4,1,1,,2,1,1,1,9,9,4,1,24,1,15,1,22,0,,0,,0,,1,25,1,19,0,,1,17,0,,0,,4,24,1,02,1,02,0,,0,,0,,0,,1,23,0,,5,1,01001,01,001,1,3,0002,00005,430
010025405,1,8,03,2,2,1,1,,4,1,1,1,7,3,4,0,,1,21,1,15,0,,0,,0,,0,,1,16,0,,0,,0,,0,,1,23,0,,0,,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,3,0002,00005,430
010025901,1,8,10,3,4,1,1,,4,1,1,1,10,10,4,1,15,1,18,1,23,0,,0,,0,,0,,1,21,0,,0,,0,,0,,5,25,0,,1,21,0,,0,,0,,0,,1,18,0,,5,1,01001,01,001,1,3,0002,00006,419
010025902,1,8,10,3,3,1,1,,2,1,1,1,15,15,1,1,17,1,15,1,22,0,,0,,0,,1,24,3,24,0,,0,,0,,0,,3,20,1,23,1,23,1,23,0,,0,,0,,0,,0,,6,1,01001,01,001,1,3,0002,00006,419
010025903,1,8,10,3,2,1,1,,4,1,1,1,5,5,4,1,21,1,15,1,22,0,,0,,0,,1,23,2,24,0,,0,,0,,0,,3,24,1,10,1,10,0,,0,,0,,0,,1,25,0,,5,1,01001,01,001,1,3,0002,00006,419
010025904,1,8,10,3,3,1,1,,1,1,1,1,15,15,4,1,15,1,05,1,05,0,,0,,0,,0,,1,15,0,,1,17,0,,0,,4,23,0,,1,22,1,22,0,,0,,0,,1,95,0,,4,1,01001,01,001,1,3,0002,00006,419
010025905,1,8,10,2,2,1,1,,2,1,1,1,7,7,4,0,,1,20,1,23,0,,0,,0,,0,,1,17,0,,1,23,0,,0,,3,22,1,10,1,10,0,,0,,0,,0,,0,,0,,4,1,01001,01,001,1,3,0002,00006,419
010027502,1,8,10,3,2,1,1,,1,1,1,1,7,7,3,0,,1,11,1,23,0,,0,,0,,2,25,2,23,0,,1,23,1,23,0,,3,25,1,25,1,25,0,,0,,0,,0,,0,,0,,5,1,01001,01,001,1,2,0001,00002,737
010027503,1,8,10,3,2,1,1,,1,1,1,1,9,9,2,0,,1,19,0,,0,,0,,0,,0,,1,25,0,,0,,0,,0,,1,16,0,,0,,0,,0,,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00002,737
010027505,1,8,10,3,1,1,1,,1,1,1,1,4,4,3,0,,1,22,0,,0,,0,,0,,1,24,1,22,0,,0,,0,,0,,2,14,0,,1,22,1,22,1,22,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00002,737
010029601,3,8,10,2,2,1,1,,2,1,1,1,6,6,3,0,,1,21,1,19,0,,0,,0,,1,23,2,24,0,,0,,0,,0,,2,25,0,,1,23,1,19,0,,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00003,406
010029602,3,8,10,3,1,1,1,,2,1,1,1,8,8,4,1,22,1,22,1,18,0,,0,,0,,1,18,1,16,0,,0,,0,,0,,1,22,0,,0,,0,,0,,0,,0,,0,,0,,1,1,01001,01,001,1,2,0001,00003,406
010029603,1,8,10,2,1,1,1,,1,1,1,1,5,5,4,0,,1,15,0,,0,,0,,0,,0,,1,15,0,,0,,0,,0,,1,12,1,15,0,,0,,0,,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00003,406
010029604,1,8,10,2,2,1,1,,2,1,1,1,4,4,3,1,22,1,17,0,,0,,0,,0,,0,,1,15,0,,0,,0,,0,,3,22,0,,1,21,1,21,1,21,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00003,406
010029605,3,8,10,3,2,1,1,,2,1,1,1,8,8,3,1,16,1,16,1,18,0,,0,,0,,0,,2,18,0,,0,,0,,0,,2,19,0,,0,,0,,0,,0,,0,,0,,0,,3,1,01001,01,001,1,2,0001,00003,406
010030201,1,8,10,3,2,1,1,,1,1,1,1,12,12,4,0,,1,15,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,25,0,,0,,0,,0,,0,,0,,0,,0,,2,1,01001,01,001,1,2,0001,00004,436
010030202,1,8,10,3,3,1,1,,1,1,1,1,10,10,3,0,,1,12,1,18,0,,0,,0,,0,,1,24,0,,0,,0,,0,,2,23,0,,1,19,0,,0,,0,,0,,1,14,0,,3,1,01001,01,001,1,2,0001,00004,436
010030203,1,8,10,2,3,1,1,,1,1,1,1,8,8,4,1,20,2,15,1,25,0,,0,,0,,3,24,5,24,1,21,0,,2,25,0,,4,24,1,19,1,15,1,15,2,25,0,,0,,0,,0,,4,1,01001,01,001,1,2,0001,00004,436
010030204,1,8,10,3,2,1,1,,2,1,1,1,10,10,4,1,20,1,16,1,15,0,,0,,0,,1,24,1,22,0,,1,15,0,,0,,1,24,1,20,1,20,0,,0,,0,,0,,1,17,0,,2,1,01001,01,001,1,2,0001,00004,436
010030205,1,8,10,3,1,1,1,,1,1,1,1,11,7,4,0,,1,12,1,16,0,,0,,0,,1,21,1,23,0,,0,,0,,0,,2,21,0,,1,18,0,,2,23,0,,0,,0,,1,11,2,1,01001,01,001,1,2,0001,00004,436
010031401,1,8,10,3,2,1,1,,1,1,1,1,8,8,3,1,16,1,17,0,,0,,0,,0,,0,,3,22,1,22,1,18,1,18,1,19,4,23,1,20,1,20,0,,0,,0,,0,,1,04,0,,3,1,01001,01,001,1,2,0001,00005,449
010031404,1,8,10,3,3,1,1,,1,1,1,1,7,7,3,1,22,1,14,1,14,0,,0,,0,,2,25,1,18,0,,0,,0,,0,,3,15,0,,1,25,0,,0,,0,,0,,0,,0,,7,1,01001,01,001,1,2,0001,00005,449
010031405,1,8,10,2,4,1,1,,1,1,1,1,11,10,4,0,,1,24,2,20,0,,0,,0,,0,,1,20,0,,0,,0,,0,,6,25,0,,0,,0,,0,,0,,0,,0,,0,,14,1,01001,01,001,1,2,0001,00005,449
010031501,1,8,10,3,2,1,1,,1,1,1,1,12,12,4,1,11,1,01,1,11,0,,0,,0,,1,12,1,15,1,12,0,,0,,0,,2,24,1,21,1,21,0,,0,,1,23,0,,1,06,0,,3,1,01001,01,001,1,2,0001,00006,461
