folioviv,foliohog,id_pobla,parentesco,sexo,edad,afrod,hablaesp,hablaind,lenguaind,hablaing,hablaotro,etnia,asiste_esc,no_asisb,nivelaprob,gradoaprob,alfabetism,edo_conyug,inf_selec,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_hog
010019105,1,03,3,1,13,2,1,2,,2,2,2,1,,03,2,,9,2,01001,01,001,0001,00001,448
010019105,1,04,3,2,12,2,1,2,,2,2,2,1,,02,5,1,9,2,01001,01,001,0001,00001,448
010022101,1,01,1,1,34,2,1,2,,2,2,2,2,,03,3,,9,1,01001,01,001,0002,00004,530
010022102,1,01,1,2,49,2,1,2,,2,2,2,2,,06,2,,6,2,01001,01,001,0002,00004,530
010022102,1,02,3,2,21,2,1,2,,2,2,2,2,07,06,1,,9,2,01001,01,001,0002,00004,530
010022102,1,03,3,2,29,2,1,2,,2,2,2,2,05,03,3,,2,2,01001,01,001,0002,00004,530
010022102,1,04,3,2,28,2,1,2,,2,2,2,2,04,03,3,,3,1,01001,01,001,0002,00004,530
010022102,1,05,4,1,11,2,1,2,,2,2,2,1,,02,4,1,,2,01001,01,001,0002,00004,530
010022102,1,06,4,2,8,2,1,2,,2,2,2,1,,02,2,1,,2,01001,01,001,0002,00004,530
010022102,1,07,4,2,5,2,1,2,,1,2,2,2,00,00,,2,,2,01001,01,001,0002,00004,530
010022102,1,08,4,2,5,2,1,2,,2,2,2,2,15,00,,2,,2,01001,01,001,0002,00004,530
010022102,1,09,4,1,0,2,,,,,,,,,,,,,2,01001,01,001,0002,00004,530
010022102,1,10,4,1,0,2,,,,,,,,,,,,,2,01001,01,001,0002,00004,530
010022103,1,01,1,1,52,2,1,2,,2,2,2,2,,03,3,,8,1,01001,01,001,0002,00004,530
010022103,1,02,2,2,51,2,1,2,,2,2,2,2,,03,3,,8,2,01001,01,001,0002,00004,530
010022103,1,03,3,2,23,2,1,2,,2,2,2,2,05,06,3,,9,2,01001,01,001,0002,00004,530
010022103,1,04,3,1,22,2,1,2,,2,2,2,2,04,06,3,,9,2,01001,01,001,0002,00004,530
010022104,1,01,1,2,43,2,1,2,,2,2,2,2,,03,3,,2,1,01001,01,001,0002,00004,530
010022104,1,02,3,2,19,2,1,2,,1,2,2,1,,06,3,,9,2,01001,01,001,0002,00004,530
