folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080436702,1,03,70008031,1972,09,3,7121,2,2020,70008031,1970,09,3,9712,2,,2,1,02,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,5179
080436704,1,01,70008031,1958,06,3,6114,2,,70008031,1958,06,5,1003,2,,4,1,01,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,3453
080436705,1,01,70008031,1979,06,6,7121,2,,70008031,1989,06,6,1003,2,,3,1,02,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,9,2,08031,08,031,0117,00003,3453
080436706,1,01,70008999,1982,12,1,8351,2,,70008031,1983,12,1,5251,2,,2,0,02,2,1,2,1,1,1,2,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,08031,08,031,0117,00003,1726
080436707,1,01,70008031,9999,09,3,4111,2,1999,70008040,9999,09,3,9611,2,,4,2,01,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,5179
080436710,1,02,70008031,1954,09,3,7121,2,,70008031,1963,06,5,1003,2,,4,0,02,2,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,3453
080436711,1,01,70008066,9999,00,0,6111,1,2023,70008066,1948,06,6,1003,1,,10,8,02,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,08031,08,031,0117,00003,3453
080436712,1,02,70008031,9999,06,6,6131,2,2021,70008031,9999,09,3,1003,2,1999,8,4,02,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,,,2,2,1,2,2,1,1,1,1,2,2,9,2,2,08031,08,031,0117,00003,3453
080436714,1,03,70008031,1976,14,5,2333,2,,70008031,1978,14,5,2121,2,,2,0,03,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,08031,08,031,0117,00003,5179
080436715,1,01,70008063,1957,06,6,6129,2,,70008063,1957,06,6,1003,2,,3,0,02,2,1,2,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,2,08031,08,031,0117,00003,1726
080436716,1,01,70008999,1974,99,9,9999,9,,70008031,1974,06,6,6117,2,,4,2,01,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,1726
080436717,1,05,70008031,1960,06,6,9111,2,,70008031,1960,06,3,1003,2,,4,0,02,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,8632
080436718,1,01,70008050,1920,99,9,5313,2,2000,70008013,9999,99,9,1003,2,1965,14,13,02,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08031,08,031,0117,00003,1726
