"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"CHL","Chile",0.524259253417699,0.524659143465249,0.517526989550709,0.512042887872728,0.520739265593181,0.532609884175601,0.538974214306352,0.548852666839446,0.540885197469604,0.542497680782251,0.556494656513831,0.548288619561126,0.554477630442871,0.552962645278348,0.547930022336933,0.54694679367886,0.549144200754384,0.560685543833944,0.55838806996194,0.560775276372123,0.555867238043011,0.554986255235235,0.553814153530702,0.556574969522396,0.547373860871078,0.54187769194112,0.546282325131687,0.54237563354412,0.543640624658825,0.548057982134563
"CHN","China",0.358348635751432,0.359290508369374,0.355410889141062,0.351560701179258,0.35085443622269,0.353036720818543,0.348976909249046,0.347188074832278,0.352370750169917,0.360335818813559,0.364559567123679,0.373030227197405,0.3870259226111,0.399752742723599,0.414042973408075,0.425440085191476,0.434188221035743,0.427498291925491,0.429030681325365,0.435247691278232,0.450606043338015,0.453945799128058,0.466297721935655,0.472447200004968,0.539609700423203,0.551318399666469,0.556625283583973,0.444699422492402,0.453268126032888,0.454977786880392
"COL","Colombia",0.294710650517625,0.294349395762382,0.29202935915934,0.290754601174875,0.287954797085341,0.286487941924656,0.295450151547806,0.304361873298237,0.311431020738528,0.323563476348322,0.328197773278065,0.320876956522072,0.321931183319561,0.332050158770025,0.345337923116441,0.363982390592334,0.377305215872261,0.370602196316693,0.364642785862718,0.37787784757371,0.378785554519088,0.377830454760256,0.377241680318651,0.37520679513901,0.3719314927405,0.375413290879264,0.373777115883768,0.422722694048001,0.421389393321247,0.415760860663383
"COM","Comoros",0.310612334714817,0.31062783179084,0.31089964805316,0.311189009637117,0.305371697184566,0.299477346836157,0.313141835118454,0.326768547449391,0.310001725026963,0.307174187993645,0.308096990197151,0.318695565877304,0.303640968432036,0.29019566424506,0.290437216072415,0.290821120371244,0.290984886478342,0.289000280612724,0.29028071690748,0.298216500987682,0.295352917531103,0.292895207103525,0.291981700574504,0.28535601116198,0.277485307488591,0.276755178606586,0.276848540123977,0.251880149534307,0.255900009821425,0.259205277711487
"COG","Congo",0.245448844407976,0.245450415903794,0.2383510695439,0.231251579762952,0.240432095755281,0.250758698491431,0.248847499146561,0.247357353798279,0.252909141150434,0.25916157954748,0.24142418620766,0.243278826600213,0.240522344462704,0.23501451034076,0.238941341542141,0.236498679956113,0.232038056621672,0.223002523551058,0.220568026385042,0.223730530808259,0.219700350525349,0.21536834575096,0.210414951978494,0.211734866336511,0.208797308959864,0.210157740160114,0.216300893099521,0.223025119849631,0.223076749595518,0.223569269890757
"COD","Congo, the Democratic Republic o",0.174063187837684,0.173955298722996,0.169004938885704,0.16406108751552,0.165316795218666,0.166878495259211,0.173526847242817,0.180208951137225,0.184137203433818,0.195915088163146,0.197768646826342,0.18807946465751,0.183152833152438,0.18007989318262,0.181690106215613,0.170461283900963,0.182566425786565,0.178513807197846,0.175734619491131,0.168740444808753,0.180638588969836,0.187320926250495,0.180915436417194,0.187617834823829,0.188054042066728,0.187780520429819,0.192099018237697,0.18191668491739,0.180997117850583,0.178004679640907
"CRI","Costa Rica",0.422522981199543,0.421216605457881,0.427148497128528,0.430432774479884,0.430567396311064,0.432205038007778,0.422975410471361,0.420560073009738,0.41808045690624,0.422686164368769,0.427062170190216,0.421402749393027,0.418499333621134,0.424034565951796,0.428703898130118,0.435924448266222,0.428046296088795,0.435607436250431,0.442189790487037,0.455929398219692,0.46368609245689,0.469112034849642,0.467161736086119,0.46885720459096,0.469587607635987,0.470184035010962,0.469327115002611,0.462388225322712,0.465547717659273,0.476711983261918
"CIV","Cote d'Ivoire",0.290982699121496,0.289999914859787,0.282620234670934,0.274825779316505,0.257154038566903,0.239628930636838,0.235335572681116,0.231035314207305,0.22980084198826,0.212227540647228,0.205417619570245,0.205414942577574,0.215036792196968,0.212903879400615,0.223695921545364,0.20217743735709,0.201972308903741,0.211978141550393,0.21789867271874,0.252939501103214,0.27630622627509,0.276178198417799,0.272572770551127,0.279436711065041,0.287086975793087,0.289403776237653,0.294470614937689,0.29721687184856,0.297446176419607,0.307451391982768
"HRV","Croatia",0.428068397772852,0.428227857312284,0.433866189516161,0.437716122631469,0.452837812602639,0.470850669463994,0.484769547948785,0.494665135899463,0.507602321380036,0.510935867308857,0.507389430335753,0.496508156091322,0.50134709110061,0.497413955714325,0.490178049288452,0.49485604338688,0.491570716022994,0.488085345286894,0.487455073210057,0.48237734732442,0.49028039884733,0.4906557157128,0.489151663080802,0.489538134877279,0.496350960987778,0.490495974364453,0.49098257627813,0.527491694377301,0.529602404743178,0.5415587705709
"CUB","Cuba",0.260098049185061,0.257693133521892,0.258022252618034,0.256836682444861,0.26570982100599,0.268712300899615,0.270532231110996,0.271533619585349,0.271975452755571,0.289977673527154,0.305496982768175,0.357397074137428,0.377513615428067,0.391738547889985,0.388157404532428,0.36127765519164,0.342722906005933,0.331773381973277,0.318888409107284,0.32431679217414,0.326394489488291,0.317548958508353,0.329376122101891,0.331297790250176,0.337001209905228,0.346298238729912,0.342979006212873,0.346002619189254,0.342803359759303,0.326042310214536
"CYP","Cyprus",0.482903506975039,0.483469831373157,0.482423873917623,0.481607179380249,0.48496542675247,0.48890792965026,0.490775297779985,0.496823281385233,0.499440748169038,0.495617844269591,0.509882680786395,0.517306845433425,0.517399706267806,0.53151305747009,0.530398339112078,0.529404875756708,0.518291726789965,0.512140945900976,0.508549803851871,0.508079286085892,0.510704949779113,0.520172569122672,0.535829423850852,0.534396362983003,0.541693065028187,0.538276392853436,0.540954569256709,0.496013280044761,0.496391220448149,0.504149457315001
"CZE","Czech Republic",0.512726113211511,0.512848470175088,0.509890304205452,0.510087528061909,0.500640276131487,0.491232861204445,0.503804571933986,0.516698370407093,0.525937268247918,0.519583650280015,0.529803001566301,0.531012885031593,0.533675410649065,0.535259575860136,0.529529890561378,0.534415013083349,0.547175267534836,0.5497933943913,0.557482092488508,0.562217680764414,0.569137701108303,0.56642946218474,0.573291849404525,0.566090255846864,0.568012704057366,0.55991993022804,0.563447089717228,0.606509227635582,0.605612529482908,0.606858218342057
"DNK","Denmark",0.769281665298938,0.769726924538198,0.771538305471495,0.774906536676722,0.778978448670617,0.783205126739462,0.78509381519092,0.79192643784561,0.796061285345582,0.795113907165613,0.799357060641828,0.808562650461634,0.809182976710074,0.802666368165209,0.796496031035512,0.789553663622013,0.800257850477162,0.799875285059994,0.801987036034634,0.792179678317722,0.795324322774463,0.794027854815158,0.793975735277552,0.793245172487172,0.792357532403375,0.794933834235982,0.788782138607024,0.712892400883844,0.711983967318087,0.707141915822666
"DJI","Djibouti",0.313525165096515,0.313536626359071,0.312287836279672,0.311000355046694,0.315101460354434,0.319224602773554,0.319609127291646,0.319974255928417,0.314037816504796,0.32467046065663,0.313444222758759,0.32276133295216,0.323314312430636,0.333158374122705,0.334372759058333,0.324650892034576,0.314266689274283,0.312978749589824,0.298408156774407,0.30679936461453,0.312073594746387,0.31081131923971,0.325491091533666,0.33157505386809,0.33614604986692,0.33624049647212,0.33471684979557,0.32872120577283,0.328693927876265,0.327192953584806
"DMA","Dominica",0.607955627939099,0.607955627939099,0.60814349410956,0.60833136028002,0.607119947362918,0.605908534445817,0.6060372604304,0.606165986414984,0.607841772211758,0.59064245316134,0.598430601057734,0.604598754434435,0.596087985363747,0.591854497933861,0.591073830195895,0.593382237786731,0.585279088774905,0.57852517225708,0.573567976399586,0.556556543544686,0.551163194731417,0.543936235465202,0.543281419407701,0.536770850871838,0.517801291904112,0.515956737614837,0.51419776903814,0.617259946036614,0.617225307119262,0.612416199972222
